task,model,cv_r2_mean,cv_r2_std,train_r2,train_rmse,test_r2,test_rmse,cv_accuracy_mean,cv_accuracy_std,train_accuracy,test_accuracy
risk_score,Random Forest,0.7670198312516772,0.033848907058640874,0.9700916134202678,3.1836565141359077,0.8078451535765105,8.118395093859377,,,,
risk_score,XGBoost,0.8510634779930115,0.016420801173703224,0.9999914169311523,0.05389243584695901,0.8857346773147583,6.2603951029054405,,,,
risk_score,Neural Network,0.6920215667938695,0.1688025816710331,0.9976217914826316,0.8977484784906268,0.7762905858308851,8.759647745749506,,,,
risk_score,Linear Regression,0.8459192676588388,0.014788028224941133,0.8539521660438683,7.035213356996253,0.8276219353444128,7.689277102248051,,,,
resilience_score,Random Forest,0.7927140846726095,0.016844215241597398,0.9710563355454439,2.530391530969071,0.8354589750922405,6.036123515966187,,,,
resilience_score,XGBoost,0.8467079758644104,0.017055795705375073,0.9999908208847046,0.045089677788056316,0.8794801235198975,5.165951935748708,,,,
resilience_score,Neural Network,0.7515797415076384,0.10349262439561835,0.9992379444067655,0.4105861499465024,0.8026139656237429,6.611183778856581,,,,
resilience_score,Linear Regression,0.850116856252823,0.009980845547486586,0.8572739939533662,5.619045185158663,0.856938512019636,5.62836673914945,,,,
risk_category,Random Forest,,,,,,,0.7459999999999999,0.0312089730686545,1.0,0.765
risk_category,XGBoost,,,,,,,0.7670000000000001,0.01913112646970901,1.0,0.772
risk_category,Neural Network,,,,,,,0.7659999999999999,0.024779023386727755,1.0,0.798
risk_category,Logistic Regression,,,,,,,0.7999999999999999,0.03605551275463988,0.828,0.805
